Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
MIX573,23564-05-8,23564-05-8,Thiophanate-methyl,cas,True,1.0,1.0,1.0
MIX574,210880-92-5,210880-92-5,Clothianidin,cas,True,1.0,1.0,1.0
MIX575,330-54-1,330-54-1,Diuron,cas,True,4.0,4.0,4.0
MIX576,56-72-4,56-72-4,Coumaphos,cas,True,1.0,1.0,1.0
MIX577,142459-58-3,142459-58-3,Flufenacet,cas,True,1.0,1.0,1.0
MIX578,1861-40-1,1861-40-1,Benfluralin (technical),cas,True,1.0,1.0,1.0
MIX579,240494-70-6,240494-70-6,Metofluthrin,cas,True,1.0,1.0,1.0
MIX58,82657-04-3,82657-04-3,Bifenthrin,cas,True,0.0,0.0,0.0
MIX580,1071-83-6,1071-83-6,Glyphosate,cas,True,1.0,1.0,1.0
MIX581,122931-48-0,122931-48-0,Inert ingredients,cas,False,1.0,1.0,0.0
MIX582,122931-48-0,122931-48-0,Rimsulfuron,cas,True,1.0,1.0,1.0
MIX583,133-06-2,133-06-2,Captan,cas,True,1.0,1.0,1.0
MIX584,20520-69-2,20520-69-2,"1-Propanamine, N-ethyl- (N-ethylpropylamine, i.e. EP-Amin)",cas,True,1.0,1.0,1.0
MIX585,26225-79-6,26225-79-6,Ethofumesate,cas,True,1.0,1.0,1.0
MIX586,126833-17-8,126833-17-8,Fenhexamid,cas,True,0.0,0.0,0.0
MIX587,107534-96-3,107534-96-3,Tebuconazole,cas,True,1.0,1.0,1.0
MIX588,69770-45-2,69770-45-2,Flumethrin,cas,True,1.0,1.0,1.0
MIX589,372137-35-4,372137-35-4,Saflufenacil,cas,True,1.0,1.0,1.0
MIX59,82657-04-3,82657-04-3,Bifenthrin,cas,True,0.0,0.0,0.0
MIX590,59669-26-0,59669-26-0,Thiodicarb,cas,True,1.0,1.0,1.0
MIX591,1918-00-9,1918-00-9,Dicamba,cas,True,1.0,1.0,1.0
MIX592,372137-35-4,372137-35-4,Saflufenacil,cas,True,1.0,1.0,1.0
MIX593,116-06-3,116-06-3,Aldicarb,cas,True,1.0,1.0,1.0
MIX594,52315-07-8,52315-07-8,Cypermethrin,cas,True,1.0,1.0,1.0
MIX595,865318-97-4,865318-97-4,Ametoctradin,cas,True,2.0,2.0,2.0
MIX596,1071-83-6,1071-83-6,Glyphosate,cas,True,15.0,15.0,15.0
MIX597,138261-41-3,138261-41-3,Imidacloprid,cas,True,2.0,2.0,2.0
MIX598,87674-68-8,87674-68-8,Dimethenamid,cas,True,2.0,2.0,2.0
MIX599,181274-15-7,181274-15-7,Propoxycarbazone-sodium,cas,True,1.0,1.0,1.0
MIX6,2682-20-4,2682-20-4,2-Methyl-3(2H)-isothiazolone,cas,True,26.0,26.0,26.0
MIX60,2682-20-4,2682-20-4,Methylisothiazolinone,cas,True,11.0,11.0,11.0
MIX600,133-37-9,133-37-9,(+/-)-tartaric acid,cas,True,1.0,1.0,1.0
MIX601,107534-96-3,107534-96-3,Tebuconazole,cas,True,1.0,1.0,1.0
MIX602,107534-96-3,107534-96-3,Tebuconazole,cas,True,1.0,1.0,1.0
MIX603,138261-41-3,138261-41-3,Imidacloprid,cas,True,1.0,1.0,1.0
MIX604,138261-41-3,138261-41-3,Imidacloprid,cas,True,1.0,1.0,1.0
MIX605,138261-41-3,138261-41-3,Imidacloprid,cas,True,1.0,1.0,1.0
MIX606,82657-04-3,82657-04-3,Bifenthrin,cas,True,0.0,0.0,0.0
MIX607,138261-41-3,138261-41-3,Imidacloprid,cas,True,1.0,1.0,1.0
