sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,pc2_logkow,feature,float64,666,39.76,True,False,chemistry,False
formulation,pc2_logkow_mod,feature,str,16,0.96,False,False,chemistry,False
formulation,pc2_decomp,feature,float64,130,7.76,True,False,chemistry,False
formulation,pc2_decomp_mod,feature,str,36,2.15,False,False,chemistry,False
formulation,pc2_bp,feature,float64,382,22.81,True,False,chemistry,False
formulation,pc2_bp_mod,feature,str,124,7.4,False,False,chemistry,False
formulation,pc2_odor,feature,str,714,42.63,False,False,chemistry,False
formulation,pc2_color,feature,str,680,40.6,False,False,chemistry,False
formulation,pc2_appearance,feature,str,903,53.91,False,False,chemistry,False
formulation,pc2_flammability,feature,str,178,10.63,False,False,chemistry,False
formulation,pc2_verdict,provenance,str,1675,100.0,False,False,provenance,False
formulation,p1_tier,provenance,str,130,7.76,False,False,provenance,False
formulation,p1_resolution,provenance,str,130,7.76,False,False,provenance,False
formulation,p1_confidence,provenance,str,130,7.76,False,False,provenance,False
formulation,p1_source_url,provenance,str,127,7.58,False,False,provenance,False
formulation,p1_source_type,provenance,str,127,7.58,False,False,provenance,False
formulation,p1_ingredients_match,provenance,object,44,2.63,False,False,provenance,False
formulation,p1_eye,label_source,str,31,1.85,False,False,label_source,False
formulation,p1_skin,label_source,str,31,1.85,False,False,label_source,False
formulation,p1_sens,label_source,str,31,1.85,False,False,label_source,False
formulation,p1_signal,label_source,str,29,1.73,False,False,label_source,False
formulation,p1_h,label_source,object,31,1.85,False,False,label_source,False
formulation,p1_ph,feature,object,11,0.66,False,False,chemistry,False
formulation,p1_note,label_source,str,130,7.76,False,False,label_source,False
formulation,p1_batch,provenance,str,130,7.76,False,False,provenance,False
formulation,t11_present,feature,float64,1672,99.82,True,False,bookkeeping,True
formulation,t11_gated,feature,float64,1672,99.82,True,False,bookkeeping,True
formulation,t11_eye_cat,label_source,str,575,34.33,False,False,label_source,False
formulation,t11_eye_basis,label_source,str,575,34.33,False,False,label_source,False
formulation,t11_eye_weak_nc,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_eye_ambig,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_eye_comp,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_eye_label,label_source,str,566,33.79,False,False,label_source,False
formulation,t11_qual_eye,label_source,float64,693,41.37,False,False,label_source,False
formulation,t11_epa_eye,label_source,float64,29,1.73,False,False,label_source,False
formulation,t11_eye_raw,label_source,str,874,52.18,False,False,label_source,False
formulation,t11_skin_cat,label_source,str,491,29.31,False,False,label_source,False
formulation,t11_skin_basis,label_source,str,491,29.31,False,False,label_source,False
formulation,t11_skin_weak_nc,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_skin_ambig,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_skin_comp,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_skin_label,label_source,str,481,28.72,False,False,label_source,False
formulation,t11_qual_skin,label_source,float64,623,37.19,False,False,label_source,False
formulation,t11_epa_skin,label_source,float64,27,1.61,False,False,label_source,False
formulation,t11_skin_raw,label_source,str,801,47.82,False,False,label_source,False
formulation,t11_sens_cat,label_source,str,473,28.24,False,False,label_source,False
formulation,t11_sens_basis,label_source,str,473,28.24,False,False,label_source,False
formulation,t11_sens_weak_nc,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_sens_ambig,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_sens_comp,label_source,float64,1094,65.31,False,False,label_source,False
formulation,t11_sens_label,label_source,str,461,27.52,False,False,label_source,False
formulation,t11_qual_sens,label_source,float64,196,11.7,False,False,label_source,False
formulation,t11_epa_sens,feature,float64,0,0.0,False,False,chemistry,False
formulation,t11_sens_raw,label_source,str,788,47.04,False,False,label_source,False
formulation,t11_sens_resp_cat,label_source,str,12,0.72,False,False,label_source,False
formulation,t11_ld50_oral,feature,float64,617,36.84,True,True,label_coderived,True
formulation,t11_ld50_oral_log,feature,float64,617,36.84,True,True,label_coderived,True
formulation,t11_ld50_oral_censored,feature,float64,617,36.84,True,True,label_coderived,True
formulation,t11_ld50_oral_n,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_ld50_oral_multi,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_ld50_oral_unparsed,feature,float64,1094,65.31,True,True,label_coderived,True
