우선순위,endpoint,Formulation_ID,product_name,현재라벨,현재이진,마스크적용,원문URL,URL출처컬럼,로컬보유,doc_source,doc_rel,판정결과(양성/음성/판별불가),H코드,원문근거문장,확인자,확인일
2,skin,MIX251,GF-1592 Naturalyte Insect Control,NC,0,아니오,https://www.clarke.com/wp-content/uploads/2022/03/natular2ec-msds.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/0d8175c67ad516b7_highlighted.pdf,,,,,
2,skin,MIX280,Kendo 22.8 CS,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/9dc1c55fccdaa795_highlighted.pdf,,,,,
2,skin,MIX329,Mon 58416,NC,0,아니오,https://www.chemblink.com/MSDSFiles/532-43-4Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G022_sigma_mirror_sds_pdf_3a705fd60f882a03_highlighted.pdf,,,,,
2,skin,MIX339,MZ 75DF Agricultural Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/006acc377a090f61_highlighted.pdf,,,,,
2,skin,MIX364,Prohexadione calcium(89.9%),NC,0,아니오,https://www.chemblink.com/MSDSFiles/127277-53-6Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G015_127277-53-6_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,MIX377,Quinoxyfen Manufacturing Use Concentrate,NC,0,아니오,https://www.pomerix.com/pesticides/quinoxyfen-manufacturing-use-concentrate,p1_source_url,아니오,local,ingredient_source_audit/highlighted/504b70f24956ee09_highlighted.pdf,,,,,
2,skin,MIX42,Aminopyralid,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/2ba9cc637fd8a601_highlighted.pdf,,,,,
2,skin,MIX571,Rimsulfuron,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/8abb05ab9ef55979_highlighted.pdf,,,,,
2,skin,MIX577,Axiom DF,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/01664de36b4b5495_highlighted.pdf,,,,,
2,skin,MIX581,DPX-E9636,NC,0,아니오,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/DuPont_Resolve_DF1d_Herbicide_MSDS.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/bd26a419ca333709_highlighted.pdf,,,,,
2,skin,MIX587,Folicur 1. 2 emulsifiable concentrate(15.4),NC,0,아니오,https://www.chemblink.com/MSDSFiles/107534-96-3Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G030_107534-96-3_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,MIX589,Kixor Herbicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/b752aeb484e1c1a7_highlighted.pdf,,,,,
2,skin,MIX594,Multicide 28661,NC,0,아니오,http://ghstagc1.w40.wh-2.com/MSDS/1021-1856.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/485bf0f04619e39b_highlighted.pdf,,,,,
2,skin,MIX595,Orvego Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/fda4f8c93049e4a3_highlighted.pdf,,,,,
2,skin,MIX603,The Andersons 0.058% Bifenthrin + 0.115% Imidacloprid Insecticide with Fertilizer,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/65c232ed85c80e57_highlighted.pdf,,,,,
2,skin,MIX607,The Andersons GC 0.077% Bifenthrin + 0.155% Imidacloprid Granular Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/65c232ed85c80e57_highlighted.pdf,,,,,
2,skin,MIX608,Stratego Pro Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/b85a6b3d5c96c2ba_highlighted.pdf,,,,,
2,skin,MIX612,Ultra P,NC,0,아니오,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/18346908/JSON?heading=GHS+Classification,p1_source_url,아니오,local,ingredient_source_audit/highlighted/f13d509e7f969b51_highlighted.pdf,,,,,
2,skin,MIX617,5-Hydroxy-Tepraloxydim,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/d71e3f693e116387_highlighted.pdf,,,,,
2,skin,MIX618,Abamectin A1a,NC,0,아니오,https://chem.echa.europa.eu/api-substance/v1/substance?pageIndex=1&pageSize=10&searchText=65195-51-9,p1_source_url,아니오,local,ingredient_source_audit/highlighted/f880b1d4908ba51f_highlighted.pdf,,,,,
2,skin,MIX621,Abamectin B2a,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/f880b1d4908ba51f_highlighted.pdf,,,,,
2,skin,MIX629,F6141 EW INSECTICIDE,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/bcabb1bf65fff64c_highlighted.pdf,,,,,
2,skin,MIX630,F6141 EW,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/2c521a1a4638614b_highlighted.pdf,,,,,
2,skin,MIX632,Flufenpyr-Ethyl-S-3153 WDG/Atrazine Premix,NC,0,아니오,https://www.firstelectric.coop/pdfs/Method%20SDS.pdf,tox_source_url,아니오,url,,,,,,
2,skin,MIX641,Lannate LV,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/805bea43809b1f79_highlighted.pdf,,,,,
2,skin,MIX645,Metarex 4% Snail to Slug Bait,NC,0,아니오,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/61021/JSON?heading=GHS+Classification,p1_source_url,아니오,local,ingredient_source_audit/highlighted/9e4e42c3ac50daf5_highlighted.pdf,,,,,
2,skin,MIX648,Optiguard Cockroach Bait,NC,0,아니오,https://www.domyown.com/msds/Optigard_Cockroach_Gel_Bait_SDS_2020.pdf,tox2_src_url,아니오,local,ingredient_source_audit/highlighted/5408a948c3719c1a_highlighted.pdf,,,,,
2,skin,MIX649,Optiguard Liquid Ant Bait,NC,0,아니오,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5821911/JSON?heading=GHS+Classification,p1_source_url,아니오,local,ingredient_source_audit/highlighted/7ba557c94bd50f41_highlighted.pdf,,,,,
2,skin,MIX653,Prosper T400 Insecticide to Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/c6d5d767ddf927ac_highlighted.pdf,,,,,
2,skin,MIX655,Raxil MD Extra,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/bdbc689f4ca255df_highlighted.pdf,,,,,
2,skin,MIX659,Touchdown Diquat Home to Garden Concentrate,NC,0,아니오,https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6794/JSON?heading=GHS+Classification,p1_source_url,아니오,local,ingredient_source_audit/highlighted/8c2506158824e7b6_highlighted.pdf,,,,,
2,skin,MIX661,Accent Q Herbicide,NC,0,아니오,https://www.agrian.com/pdfs/Accent_Q_MSDS.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/9962c8206af8c05f_highlighted.pdf,,,,,
2,skin,MIX662,Acetochlor 3.1 + ATZ 2.5,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/85741f2d78a06771_highlighted.pdf,,,,,
2,skin,MIX668,Bifenthrin 0.083 Insecticide with X-X-X Fertilizer,NC,0,아니오,https://www.genfarm.com.au/sites/genfarm/files/2018-09/documents/Genfarm%20Bifenthrin%20100%20Miticide%3AInsecticide%20SDS.pdf,tox_source_url,아니오,url,,,,,,
2,skin,MIX670,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/c2a5d1d533d1d7dc_highlighted.pdf,,,,,
2,skin,MIX672,Calypso 4F,NC,0,아니오,https://www.chemblink.com/MSDSFiles/111988-49-9Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G049_111988-49-9_ChemBlink_Sigma_highlighted.pdf,,,,,
