Formulation_ID,ingredient_name,cas,ing_ghs_indep_eye_cat,ing_ghs_indep_skin_cat,ing_ghs_indep_sens_cat,ing2_pct_raw_text,pct_text,pct_value,동일CAS_농도참조,동일CAS_참조수,SDS존재,SDS파일,has_ghs_eye,has_ghs_skin,has_ghs_both,우선순위
EyeIrritation6pack_PID145,C =,,,,,52.8 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Biuret ( -1.5%),,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Sulfur,,,,,4-13%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,XCU C =,,,,,11.9 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Polymer coating () Mixture,,,,,<5%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Non-hazardous dye () Proprietary,,,,,<1%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,0-0-62 Sodium chloride ( - 3.7 %) C = 6.5 %,,,,,0.3 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Calcium and magnesium; Chloride and sulfates ( - 1.3 %) Various,,,,,0.2 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Bifenthrin,,,,,0.069%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Bifenthrin C =,,,,,0.069%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Inert Ingredients () n/a,,,,,87.0 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Bifenthrin Insecticide,,,,,0.069%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID152,Bifenithrin technical,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID152,2-Benzisothiazolin-3-one,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID153,Bifenithrin technical,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID153,2-Benzisothiazolin-3-one,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID167,Cypermethrin,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID167,"Silica, amorphous, precipitated and gel",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID173,Isophorone diamine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID173,"1-[2,2-Bis(2-methylpropoxymethyl)butoxy]propan-2-amine",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID173,Aminoethylpiperazine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID173,Benzyl Alcohol,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID175,,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID179,Tridecyl Alcohol Ethoxylated,24938-91-8,,,,,>1%,1.0,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID179,Benzyl Alcohol,100-51-6,,,,,>1%,1.0,75.0,1,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID179,"Benzenesulfonic Acid, Mono-C11-13-Branched Alkyl Derivs., Calcium Salts",70528-83-5,,,,,>1%,1.0,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID179,"hydrocarbons ,C10, Aromatics, <1% Naphthalene",,,,,,>1%,1.0,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID180,,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID182,Content (W/W),,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID182,Content (W/W): > 10.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID182,Content (W/W): >= 10.0 - <=,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID182,Content (W/W): >= 3.0 - <=,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID182,Content (W/W): >= 0.1 - <=,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
